seed-property-id,address,property-name,property-type,gfa,year-built,province,city,postal-code,geom,latitude,longitude,energy-star,site-eui,source-eui,total-ghg,ghgi
BBBC018754,4639 W. 10th ave.,Bellevue Towers,Multifamily Housing,2863.0970350848,1964,BC,Vancouver,v6r 2j3,"(-123.21361541748047,49.264156341552734)",49.264156341552734,-123.21361541748047,,241.60990000000000,274.9267,118.54050240000000,41.40285370370940
BBBC023036,2324 w 1st ave,Seaside Plaza,Multifamily Housing,4966.9950724416,1967,BC,Vancouver,v6k 1g3,"(-123.15768432617188,49.270591735839844)",49.270591735839844,-123.15768432617188,,244.38630000000000,302.6907,186.73711800000000,37.595555172250500
BBBC006996,6388 Crescent Road,Sing Tao,College/University,1570.9996967040000,1997,BC,Vancouver,V6T1Z4,"(-123.25763702392578,49.267601013183594)",49.267601013183594,-123.25763702392578,,168.9818,,42.924943742860200,27.32330393988050
BBBC008413,1067 Seymour St,(2041) New Continental and The Gathering Place,Multifamily Housing,9174.591405619200,1992,BC,Vancouver,V6B 5S4,"(-123.12356567382812,49.27797317504883)",49.27797317504883,-123.12356567382812,,463.75345,735.90375,425.9598162,46.42816068288930
BBBC024299,6440 Memorial Road,Fraser River Parkade,Parking Garage,17169.9998276736,1982,BC,Vancouver,V6T 1Z2,"(-123.25623321533203,49.26726150512695)",49.26726150512695,-123.25623321533203,,11.105600000000000,,8.27346408,0.4818553381736270
BBBC004364,"1200 - 73rd Ave, Vancouver, BC",(Concealed),Office,24560.776684800000,1975,BC,Vancouver,V6P 6G5,"(-123.133634,49.204001)",49.204001,-123.133634,87,180.49755,277.70310000000000,457.21312840000000,18.61556300936100
BBBC008752,4397 West 2nd Ave,(1150) West Point Grey Community Centre,Rec Centre,2974.2973288128,1909,BC,Vancouver,V6R 1K4,"(-123.20573425292969,49.271400451660156)",49.271400451660156,-123.20573425292969,,124.96955000000000,216.59075,34.8430264,11.714697230615500
BBBC014779,"3535 Crowley Drive, Vancouver V5R 6G5",Bradford,Multifamily Housing,3366.6965440128,2000,BC,Vancouver,V5R 6G5,"(-123.029854,49.236597)",49.236597,-123.029854,,174.94475,269.3739,64.79823520000000,19.246811123245200
BBBC014712,1130 W Pender,1130 W Pender (50%),Office,13023.686984832000,1980,BC,Vancouver,V6E 4A4,"(-123.08054,49.279771)",49.279771,-123.08054,61,219.36715000000000,344.3367,296.0770144,22.733710370809000
BBBC008681,450 E Cordova St,(3612) Oppenheimer Lodge,Multifamily Housing,3352.6969849152,1974,BC,Vancouver,V6A 1G6,"(-123.09391784667969,49.28191375732422)",49.28191375732422,-123.09391784667969,,366.5479,538.7478,149.9947258,44.73848406771480
BBBC018770,840 Broughton st.,Casa Bella,Multifamily Housing,6453.993698438400,1966,BC,Vancouver,v6g 2a1,"(-123.13031005859375,49.2871208190918)",49.2871208190918,-123.13031005859375,,238.8335,269.3739,268.20264280000000,41.556034260367400
BBBC024216,6160 Thunderbird Boulevard,Tennis Bubble,Rec Centre,2408.9999819904,1997,BC,Vancouver,V6T 1Z3,"(-123.24290466308594,49.260231018066406)",49.260231018066406,-123.24290466308594,,166.67865000000000,,58.498678040000000,24.28336316545830
BBBC001312,745 Thurlow Street,745 Thurlow (EPL),Office,41724.659776320000,2015,BC,Vancouver,V6E 3V5,"(-123.124481,49.285393)",49.285393,-123.124481,97,105.53475,197.15595,259.529618,6.220047526644190
BBBC007085,6174 University Boulevard,Wesbrook Building,College/University,10272.0002043456,1949,BC,Vancouver,V6T1Z4,"(-123.24937438964844,49.26517105102539)",49.26517105102539,-123.24937438964844,,206.52630000000000,,363.6446259719010,35.40150572652390
BBBC014613,3382 Wesbrook Mall,Tapestry Wesbrook Village,Residential Care Facility,15743.4847968384,2007,BC,Vancouver,V6S 2L2,"(-123.23504,49.254241)",49.254241,-123.23504,78,266.59750000000000,388.79065000000000,482.94920780000000,30.676101680219300
BBBC019257,580 W Hastings Street,Morris J. Wosk Centre for Dialogue,College/University,3250.3800798720000,1920,BC ,Vancouver,V6B 5K3,"(-123.11298370361328,49.284339904785156)",49.284339904785156,-123.11298370361328,,218.2629,,86.91203212492760,26.739010786625500
BBBC023069,5976 Tisdall st,Shannon Tower,Multifamily Housing,4557.995942054400,1961,BC,Vancouver,v5z 3n2,"(-123.12133026123047,49.23133850097656)",49.23133850097656,-123.12133026123047,,258.26830000000000,288.8087,201.573888,44.22419315213900
BBBC024208,6460 Agronomy Road,Ritsumeikan,Residence Hall/Dormitory,6763.0003578432000,1992,BC,Vancouver,V6T 1Z4,"(-123.25379180908203,49.260223388671875)",49.260223388671875,-123.25379180908203,,144.46745000000000,,171.13334323111100,25.304327748464200
BBBC008404,377 W Kent Ave North,(1872B) South Transfer Station include Recycling Depot,Other - Public Service,6826.093599398400,2008,BC,Vancouver,V5X 4V1,"(-123.11425018310547,49.207088470458984)",49.207088470458984,-123.11425018310547,,180.49755,341.5603,62.9337446,9.21957526363142
BBBC017202,325 East 6th Street,Mount Pleasant,Multifamily Housing,1672.2983844288000,1968,BC,Vancouver,V5T 1J9,"(-123.0977783203125,49.26569366455078)",49.26569366455078,-123.0977783203125,,230.5043,277.70310000000000,61.9782094,37.061657176765900
BBBC015578,600 6th Avenue E,112 - Carolina Court,Multifamily Housing,3986.4963882816000,1970,BC,Vancouver,V5T 1L3,"(-123.09010314941406,49.264984130859375)",49.264984130859375,-123.09010314941406,68,169.39195000000000,213.81435000000000,101.86477660000000,25.55243203541020
BBBC014704,1101 Melville,1100 Melville (50%),Office,14823.985319712000,1980,BC,Vancouver,V6E 4A6,"(-123.121825,49.286468)",49.286468,-123.121825,72,202.70875000000000,311.01990000000000,333.6814252,22.50954079387110
BBBC006585,2205 East Mall,FNH,College/University,5961.9996372672,1982,BC,Vancouver,V6T1Z4,"(-123.24916076660156,49.2641487121582)",49.2641487121582,-123.24916076660156,,357.05135000000000,,266.9796814536150,44.7801810346981
BBBC023101,1370 Clyde ave,"Iona, The",Multifamily Housing,2484.8980495488000,1964,BC,Vancouver,V7T 1E7,"(-123.15331268310547,49.328468322753906)",49.328468322753906,-123.15331268310547,,255.4919,288.8087,109.3606176,44.01005980377180
